file name,file size,config file,date,time,ITHR_plane2,VCASN_plane2,ITHR_plane3,VCASN_plane3,ITHR_plane4,VCASN_plane4,ITHR_plane5,VCASN_plane5,VBB,Momentum,Alignment file,No of events
run172193601_210427193606.raw,29.7MB,uITS3_rotated_final-0.conf,27.04.21,19:36,50,62,50,60,50,57,50,60,0,5.4 GeV e-,,865
run172195204_210427195224.raw,1.5GB,uITS3_rotated_final-1.conf,27.04.21,19:52,60,62,60,60,60,57,60,60,0,5.4 GeV e-,,303216
run172195205_210427204251.raw,286.1MB,uITS3_rotated_final-2.conf,27.04.21,20:42,70,62,70,60,70,57,70,60,0,5.4 GeV e-,,302230
run172195206_210427205025.raw,288.3MB,uITS3_rotated_final-3.conf,27.04.21,20:50,50,61,50,57,50,57,50,60,0,5.4 GeV e-,,301566
run172195207_210427205801.raw,285.8MB,uITS3_rotated_final-4.conf,27.04.21,20:58,60,61,60,57,60,57,60,60,0,5.4 GeV e-,,301411
run172195208_210427210527.raw,284.4MB,uITS3_rotated_final-5.conf,27.04.21,21:05,70,61,70,57,70,57,70,60,0,5.4 GeV e-,,300821
run172195209_210427211304.raw,287.1MB,uITS3_rotated_final-6.conf,27.04.21,21:13,50,57,50,55,50,57,50,60,0,5.4 GeV e-,,301588
run172195210_210427212030.raw,285.3MB,uITS3_rotated_final-7.conf,27.04.21,21:20,60,57,60,55,60,57,60,60,0,5.4 GeV e-,,301356
run172195211_210427212814.raw,285.5MB,uITS3_rotated_final-8.conf,27.04.21,21:28,70,57,70,55,70,57,70,60,0,5.4 GeV e-,,302215
run172195212_210427213548.raw,286.3MB,uITS3_rotated_final-9.conf,27.04.21,21:35,50,57,50,53,50,57,50,58,0,5.4 GeV e-,,301302
run172195213_210427214312.raw,285.7MB,uITS3_rotated_final-10.conf,27.04.21,21:43,60,57,60,53,60,57,60,58,0,5.4 GeV e-,,302042
run172195214_210427215016.raw,285.8MB,uITS3_rotated_final-11.conf,27.04.21,21:50,70,57,70,53,70,57,70,58,0,5.4 GeV e-,,302750
run172195215_210427215731.raw,287.4MB,uITS3_rotated_final-12.conf,27.04.21,21:57,50,55,50,53,50,58,50,57,0,5.4 GeV e-,,302608
run172195216_210427220457.raw,285.0MB,uITS3_rotated_final-13.conf,27.04.21,22:04,60,55,60,53,60,58,60,57,0,5.4 GeV e-,,301377
run172195217_210427221241.raw,285.6MB,uITS3_rotated_final-14.conf,27.04.21,22:12,70,55,70,53,70,58,70,57,0,5.4 GeV e-,,302580
run172195218_210427221956.raw,286.3MB,uITS3_rotated_final-15.conf,27.04.21,22:19,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,302152
run172195219_210427222659.raw,284.8MB,uITS3_rotated_final-16.conf,27.04.21,22:26,60,54,60,51,60,57,60,55,0,5.4 GeV e-,,301543
run172195220_210427223403.raw,283.4MB,uITS3_rotated_final-17.conf,27.04.21,22:34,70,54,70,51,70,57,70,55,0,5.4 GeV e-,,300522
run172195221_210427224118.raw,285.5MB,uITS3_rotated_final-18.conf,27.04.21,22:41,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,301372
run172195222_210427224822.raw,284.4MB,uITS3_rotated_final-19.conf,27.04.21,22:48,60,54,60,51,60,57,60,55,0,5.4 GeV e-,,301104
run172195223_210427225526.raw,284.7MB,uITS3_rotated_final-20.conf,27.04.21,22:55,70,54,70,51,70,57,70,55,0,5.4 GeV e-,,301960
run172195224_210427230330.raw,285.5MB,uITS3_rotated_final-21.conf,27.04.21,23:03,50,53,50,50,50,55,50,54,0,5.4 GeV e-,,302063
run172195225_210427231124.raw,285.6MB,uITS3_rotated_final-22.conf,27.04.21,23:11,60,53,60,50,60,55,60,54,0,5.4 GeV e-,,302696
run172195226_210427231901.raw,284.6MB,uITS3_rotated_final-23.conf,27.04.21,23:19,70,53,70,50,70,55,70,54,0,5.4 GeV e-,,301937
run172195227_210427232617.raw,285.0MB,uITS3_rotated_final-24.conf,27.04.21,23:26,50,52,50,49,50,54,50,53,0,5.4 GeV e-,,301786
run172195228_210427233342.raw,284.4MB,uITS3_rotated_final-25.conf,27.04.21,23:33,60,52,60,49,60,54,60,53,0,5.4 GeV e-,,301588
run172195229_210427234108.raw,283.2MB,uITS3_rotated_final-26.conf,27.04.21,23:41,70,52,70,49,70,54,70,53,0,5.4 GeV e-,,300543
run172195230_210427234812.raw,284.5MB,uITS3_rotated_final-27.conf,27.04.21,23:48,50,51,50,48,50,53,50,52,0,5.4 GeV e-,,301510
run172195231_210427235526.raw,284.7MB,uITS3_rotated_final-28.conf,27.04.21,23:55,60,51,60,48,60,53,60,52,0,5.4 GeV e-,,302066
run172195232_210428000241.raw,283.8MB,uITS3_rotated_final-29.conf,28.04.21,0:02,70,51,70,48,70,53,70,52,0,5.4 GeV e-,,301359
run172195233_210428000955.raw,284.2MB,uITS3_rotated_final-30.conf,28.04.21,0:09,50,50,50,47,50,52,50,51,0,5.4 GeV e-,,301392
run172195234_210428001659.raw,283.2MB,uITS3_rotated_final-31.conf,28.04.21,0:16,60,50,60,47,60,52,60,51,0,5.4 GeV e-,,300583
run172195235_210428002404.raw,284.7MB,uITS3_rotated_final-32.conf,28.04.21,0:24,70,50,70,47,70,52,70,51,0,5.4 GeV e-,,302548
run172195236_210428003203.raw,285.6MB,uITS3_rotated_final-33.conf,28.04.21,0:32,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,303003
run172195237_210428003918.raw,283.5MB,uITS3_rotated_final-34.conf,28.04.21,0:39,60,49,60,47,60,51,60,50,0,5.4 GeV e-,,301044
run172195238_210428004632.raw,284.1MB,uITS3_rotated_final-35.conf,28.04.21,0:46,70,49,70,47,70,51,70,50,0,5.4 GeV e-,,301945
run172195239_210428005346.raw,284.0MB,uITS3_rotated_final-36.conf,28.04.21,0:53,50,48,50,46,50,50,50,49,0,5.4 GeV e-,,301426
run172195240_210428010100.raw,283.8MB,uITS3_rotated_final-37.conf,28.04.21,1:01,60,48,60,46,60,50,60,49,0,5.4 GeV e-,,301501
run172195241_210428010848.raw,284.3MB,uITS3_rotated_final-38.conf,28.04.21,1:08,70,48,70,46,70,50,70,49,0,5.4 GeV e-,,302288
run172195242_210428011552.raw,284.3MB,uITS3_rotated_final-39.conf,28.04.21,1:15,50,48,50,46,50,49,50,48,0,5.4 GeV e-,,301837
run172195243_210428012306.raw,284.0MB,uITS3_rotated_final-40.conf,28.04.21,1:23,60,48,60,46,60,49,60,48,0,5.4 GeV e-,,301776
run172195244_210428013010.raw,284.7MB,uITS3_rotated_final-41.conf,28.04.21,1:30,70,48,70,46,70,49,70,48,0,5.4 GeV e-,,302736
run172195245_210428013735.raw,284.7MB,uITS3_rotated_final-42.conf,28.04.21,1:37,50,47,50,45,50,49,50,48,0,5.4 GeV e-,,302348
run172195246_210428014500.raw,284.0MB,uITS3_rotated_final-43.conf,28.04.21,1:45,60,47,60,45,60,49,60,48,0,5.4 GeV e-,,301963
run172195247_210428015204.raw,283.5MB,uITS3_rotated_final-44.conf,28.04.21,1:52,70,47,70,45,70,49,70,48,0,5.4 GeV e-,,301489
run172195248_210428015907.raw,283.5MB,uITS3_rotated_final-45.conf,28.04.21,1:59,50,47,50,45,50,48,50,47,0,5.4 GeV e-,,301135
run172195249_210428020651.raw,283.2MB,uITS3_rotated_final-46.conf,28.04.21,2:06,60,47,60,45,60,48,60,47,0,5.4 GeV e-,,301139
run172195250_210428021415.raw,283.6MB,uITS3_rotated_final-47.conf,28.04.21,2:14,70,47,70,45,70,48,70,47,0,5.4 GeV e-,,301714
run172195251_210428022131.raw,284.1MB,uITS3_rotated_final-48.conf,28.04.21,2:21,50,46,50,45,50,48,50,47,0,5.4 GeV e-,,301804
run172195252_210428022854.raw,285.3MB,uITS3_rotated_final-49.conf,28.04.21,2:28,60,46,60,45,60,48,60,47,0,5.4 GeV e-,,303447
run172195253_210428023619.raw,282.8MB,uITS3_rotated_final-50.conf,28.04.21,2:36,70,46,70,45,70,48,70,47,0,5.4 GeV e-,,300902
run172195254_210428024334.raw,285.0MB,uITS3_rotated_final-51.conf,28.04.21,2:43,50,46,50,44,50,47,50,47,0,5.4 GeV e-,,302957
run172195255_210428025049.raw,283.6MB,uITS3_rotated_final-52.conf,28.04.21,2:50,60,46,60,44,60,47,60,47,0,5.4 GeV e-,,301666
run172195256_210428025813.raw,282.8MB,uITS3_rotated_final-53.conf,28.04.21,2:58,70,46,70,44,70,47,70,47,0,5.4 GeV e-,,300956
run172195257_210428030539.raw,284.9MB,uITS3_rotated_final-54.conf,28.04.21,3:05,50,45,50,44,50,47,50,46,0,5.4 GeV e-,,302906
run172195258_210428031242.raw,283.7MB,uITS3_rotated_final-55.conf,28.04.21,3:12,60,45,60,44,60,47,60,46,0,5.4 GeV e-,,301796
run172195259_210428031957.raw,286.9MB,uITS3_rotated_final-56.conf,28.04.21,3:19,70,45,70,44,70,47,70,46,0,5.4 GeV e-,,305418
run172195260_210428032711.raw,283.0MB,uITS3_rotated_final-57.conf,28.04.21,3:27,50,45,50,44,50,46,50,46,0,5.4 GeV e-,,300924
run172195261_210428033415.raw,282.8MB,uITS3_rotated_final-58.conf,28.04.21,3:34,60,45,60,44,60,46,60,46,0,5.4 GeV e-,,300927
run172195262_210428034119.raw,283.6MB,uITS3_rotated_final-59.conf,28.04.21,3:41,70,45,70,44,70,46,70,46,0,5.4 GeV e-,,301968
run172195263_210428034844.raw,284.4MB,uITS3_rotated_final-60.conf,28.04.21,3:48,50,45,50,44,50,46,50,45,0,5.4 GeV e-,,302419
run172195264_210428035548.raw,284.1MB,uITS3_rotated_final-61.conf,28.04.21,3:55,60,45,60,44,60,46,60,45,0,5.4 GeV e-,,302316
run172195265_210428040253.raw,282.8MB,uITS3_rotated_final-62.conf,28.04.21,4:02,70,45,70,44,70,46,70,45,0,5.4 GeV e-,,301142
run172195266_210428040957.raw,282.7MB,uITS3_rotated_final-63.conf,28.04.21,4:09,50,44,50,43,50,45,50,45,0,5.4 GeV e-,,300761
run172195267_210428041655.raw,284.6MB,uITS3_rotated_final-64.conf,28.04.21,4:16,60,44,60,43,60,45,60,45,0,5.4 GeV e-,,302950
run172195268_210428042410.raw,283.2MB,uITS3_rotated_final-65.conf,28.04.21,4:24,70,44,70,43,70,45,70,45,0,5.4 GeV e-,,301683
run172195269_210428043124.raw,283.7MB,uITS3_rotated_final-66.conf,28.04.21,4:31,50,44,50,43,50,45,50,45,0,5.4 GeV e-,,301791
run172195270_210428043848.raw,283.5MB,uITS3_rotated_final-67.conf,28.04.21,4:38,60,44,60,43,60,45,60,45,0,5.4 GeV e-,,301825
run172195271_210428044603.raw,283.8MB,uITS3_rotated_final-68.conf,28.04.21,4:46,70,44,70,43,70,45,70,45,0,5.4 GeV e-,,302334
run172195272_210428045418.raw,283.4MB,uITS3_rotated_final-69.conf,28.04.21,4:54,50,44,50,42,50,44,50,44,0,5.4 GeV e-,,301622
run172195273_210428050217.raw,283.4MB,uITS3_rotated_final-70.conf,28.04.21,5:02,60,44,60,42,60,44,60,44,0,5.4 GeV e-,,301844
run172195274_210428050932.raw,283.4MB,uITS3_rotated_final-71.conf,28.04.21,5:09,70,44,70,42,70,44,70,44,0,5.4 GeV e-,,302065
run172195275_210428051716.raw,284.7MB,uITS3_rotated_final-72.conf,28.04.21,5:17,50,43,50,42,50,43,50,43,0,5.4 GeV e-,,303243
run172195276_210428052509.raw,282.3MB,uITS3_rotated_final-73.conf,28.04.21,5:25,60,43,60,42,60,43,60,43,0,5.4 GeV e-,,300809
run172195277_210428053233.raw,283.5MB,uITS3_rotated_final-74.conf,28.04.21,5:32,70,43,70,42,70,43,70,43,0,5.4 GeV e-,,302172
run173121153_210428121158.raw,293.4MB,uITS3_rotated_final-15.conf,28.04.21,12:11,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,301259
run173122604_210428122610.raw,305.1MB,uITS3_rotated_final-15.conf,28.04.21,12:26,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,301024
run173122605_210428124215.raw,310.2MB,uITS3_rotated_final-15.conf,28.04.21,12:42,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,301996
run173122606_210428125740.raw,311.9MB,uITS3_rotated_final-15.conf,28.04.21,12:57,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,302140
run173122607_210428131534.raw,312.6MB,uITS3_rotated_final-15.conf,28.04.21,13:15,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,302306
run173122608_210428133340.raw,312.3MB,uITS3_rotated_final-15.conf,28.04.21,13:33,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,301518
run173122609_210428134905.raw,312.4MB,uITS3_rotated_final-15.conf,28.04.21,13:49,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,301087
run173122610_210428140310.raw,313.4MB,uITS3_rotated_final-15.conf,28.04.21,14:03,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,301693
run173122611_210428141644.raw,312.8MB,uITS3_rotated_final-15.conf,28.04.21,14:16,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,300904
run173122612_210428143049.raw,313.5MB,uITS3_rotated_final-15.conf,28.04.21,14:30,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,301612
run173122613_210428144547.raw,314.3MB,uITS3_rotated_final-15.conf,28.04.21,14:45,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,301926
run173122614_210428150308.raw,280.8MB,uITS3_rotated_final-33.conf,28.04.21,15:03,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,301044
run173122615_210428151012.raw,281.9MB,uITS3_rotated_final-33.conf,28.04.21,15:10,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,302291
run173122616_210428151756.raw,281.3MB,uITS3_rotated_final-33.conf,28.04.21,15:17,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,301615
run173122617_210428152600.raw,281.4MB,uITS3_rotated_final-33.conf,28.04.21,15:26,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,301739
run173122618_210428153445.raw,283.3MB,uITS3_rotated_final-33.conf,28.04.21,15:34,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,303712
run173122619_210428154149.raw,281.4MB,uITS3_rotated_final-33.conf,28.04.21,15:41,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,301627
run173122620_210428154842.raw,281.6MB,uITS3_rotated_final-33.conf,28.04.21,15:48,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,301837
run173122621_210428155536.raw,283.3MB,uITS3_rotated_final-33.conf,28.04.21,15:55,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,303680
run173122622_210428160225.raw,281.0MB,uITS3_rotated_final-33.conf,28.04.21,16:02,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,301200
run173122623_210428160913.raw,281.6MB,uITS3_rotated_final-33.conf,28.04.21,16:09,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,301891
run173122624_210428161607.raw,281.3MB,uITS3_rotated_final-48.conf,28.04.21,16:16,50,46,50,45,50,48,50,47,0,5.4 GeV e-,,301487
run173122625_210428162141.raw,281.2MB,uITS3_rotated_final-48.conf,28.04.21,16:21,50,46,50,45,50,48,50,47,0,5.4 GeV e-,,301500
run173122626_210428162935.raw,282.2MB,uITS3_rotated_final-48.conf,28.04.21,16:29,50,46,50,45,50,48,50,47,0,5.4 GeV e-,,302576
run173163940_210428163946.raw,287.1MB,uITS3_rotated_final-15.conf,28.04.21,16:39,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,303271
run173163941_210428164820.raw,285.9MB,uITS3_rotated_final-15.conf,28.04.21,16:48,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,302251
run173163942_210428165915.raw,285.4MB,uITS3_rotated_final-15.conf,28.04.21,16:59,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,301485
run173163943_210428170509.raw,286.5MB,uITS3_rotated_final-15.conf,28.04.21,17:05,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,302798
run173163944_210428171323.raw,286.8MB,uITS3_rotated_final-15.conf,28.04.21,17:13,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,302979
run173163945_210428171922.raw,285.1MB,uITS3_rotated_final-15.conf,28.04.21,17:19,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,301166
run173163946_210428172626.raw,287.4MB,uITS3_rotated_final-15.conf,28.04.21,17:26,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,303670
run173163947_210428173410.raw,285.7MB,uITS3_rotated_final-15.conf,28.04.21,17:34,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,301745
run173163948_210428173944.raw,285.2MB,uITS3_rotated_final-15.conf,28.04.21,17:39,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,301074
run173163949_210428174631.raw,286.4MB,uITS3_rotated_final-15.conf,28.04.21,17:46,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,302634
run173163950_210428175526.raw,284.6MB,uITS3_rotated_final-33.conf,28.04.21,17:55,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,301914
run173163951_210428180209.raw,284.9MB,uITS3_rotated_final-33.conf,28.04.21,18:02,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,302247
run173163952_210428180814.raw,284.8MB,uITS3_rotated_final-33.conf,28.04.21,18:08,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,302197
run173163953_210428181501.raw,286.4MB,uITS3_rotated_final-33.conf,28.04.21,18:15,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,303779
run173163954_210428182135.raw,285.9MB,uITS3_rotated_final-33.conf,28.04.21,18:21,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,303314
run173163955_210428182809.raw,284.9MB,uITS3_rotated_final-33.conf,28.04.21,18:28,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,302196
run173163956_210428183434.raw,285.5MB,uITS3_rotated_final-33.conf,28.04.21,18:34,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,302908
run173163957_210428184108.raw,286.0MB,uITS3_rotated_final-33.conf,28.04.21,18:41,50,49,50,47,50,51,50,50,0,5.4 GeV e-,,303393
run173212919_210428212926.raw,313.3MB,uITS3_rotated_final-15.conf,28.04.21,21:29,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,303056
run173212920_210428213330.raw,312.9MB,uITS3_rotated_final-15.conf,28.04.21,21:33,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,302086
run173212921_210428213734.raw,313.5MB,uITS3_rotated_final-15.conf,28.04.21,21:37,50,54,50,51,50,57,50,55,0,5.4 GeV e-,,302614
